cohort,persona,policy,loop,median_rank,top1,top3,top10,surfaced_rate,median_realized_bits,median_cumulative_bits
heldout,default,targeted,3,1664.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0006257088064,0.009089491551
heldout,default,targeted,4,1896.0,0.0,0.0,0.0,0.027777777777777776,0.002200201764,0.01128969332
heldout,default,targeted,5,1217.5,0.0,0.0,0.027777777777777776,0.05555555555555555,-0.001071553303,0.01021814001
heldout,default,targeted,6,1548.5,0.0,0.0,0.027777777777777776,0.05555555555555555,0.0005045864197,0.01072272643
heldout,default,targeted,7,1720.0,0.0,0.0,0.0,0.05555555555555555,0.0004467275348,0.01116945397
heldout,default,targeted,8,2166.5,0.0,0.0,0.0,0.05555555555555555,3.167110621e-05,0.01120112507
heldout,default,targeted,9,1701.0,0.0,0.0,0.0,0.05555555555555555,0.0003672813825,0.01156840646
heldout,default,targeted,10,1771.5,0.0,0.0,0.027777777777777776,0.08333333333333333,0.00100626185,0.0125746683
heldout,default,targeted,11,2048.0,0.0,0.0,0.0,0.08333333333333333,0.001336778613,0.01391144692
heldout,default,targeted,12,1893.5,0.0,0.0,0.027777777777777776,0.1111111111111111,0.0006329178839,0.0145443648
heldout,default,targeted,13,1629.5,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.1111111111111111,0.001537675177,0.01608203998
heldout,default,targeted,14,1643.0,0.027777777777777776,0.027777777777777776,0.08333333333333333,0.1388888888888889,0.0004557389162,0.01653777889
heldout,default,targeted,15,1435.5,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.16666666666666666,0.00011308392,0.01665086281
heldout,easygoing,active,1,2524.0,0.0,0.0,0.0,0.0,0.00803431856,0.00803431856
heldout,easygoing,active,2,775.5,0.0,0.0,0.0,0.0,0.002041121165,0.01007543973
heldout,easygoing,active,3,613.5,0.0,0.0,0.0,0.0,0.000337688127,0.01041312785
heldout,easygoing,active,4,574.5,0.0,0.0,0.0,0.0,0.0009307083167,0.01134383617
heldout,easygoing,active,5,369.5,0.0,0.0,0.08333333333333333,0.08333333333333333,-0.0006333205174,0.01071051565
heldout,easygoing,active,6,505.5,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0002181626134,0.01092867827
heldout,easygoing,active,7,225.5,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0002034031584,0.01113208142
heldout,easygoing,active,8,337.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0001892158515,0.01132129728
heldout,easygoing,active,9,415.5,0.0,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0007742329745,0.01209553025
heldout,easygoing,active,10,369.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0002905269479,0.0123860572
heldout,easygoing,active,11,284.5,0.0,0.08333333333333333,0.25,0.3333333333333333,0.0007607118162,0.04538569321
heldout,easygoing,active,12,283.5,0.0,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.001847755185,0.0456524975
heldout,easygoing,active,13,186.0,0.0,0.0,0.25,0.4166666666666667,0.000831812211,0.04124293356
heldout,easygoing,active,14,194.5,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.0008037276646,0.04226166051
heldout,easygoing,active,15,181.0,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.000571596267,0.04008181267
heldout,easygoing,greedy,1,1942.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,easygoing,greedy,2,2129.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,easygoing,greedy,3,2963.5,0.0,0.0,0.08333333333333333,0.08333333333333333,,
heldout,easygoing,greedy,4,2298.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,easygoing,greedy,5,758.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,easygoing,greedy,6,1583.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,easygoing,greedy,7,1722.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
